name,name_variable,quote,source,source_abbrev,effect,attribute,effect_type,DiscardGuest,Remove,DrawGuest,TradeGuest,LOTP_twist
Clarissa Dalloway,Clarissa,"For, said Sally, Clarissa was at heart a snob - one had to admit it, a snob.",Mrs. Dalloway,MD,,guest,,,,,,
Daisy Buchanan,daisyBuchanan,"Her eyes fell on Jordan and me with a sort of appeal, as though she realized at last what she was doing - and as though she had never, all along, intended doing anything at all.",The Great Gatsby,GG,,guest,,,,,,
George B. Wilson,georgeWilson,"""I spoke to her. I told her she might fool me but she couldn't fool God. God sees everything.""",The Great Gatsby,GG,,guest,,,,,,
Jay Gatsby,gatsby,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened senstivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.",The Great Gatsby,GG,,guest,,,,,,
Jordan Baker,baker,"""They'll keep out of my way. It takes two to make an accident.""",The Great Gatsby,GG,,guest,,,,,,
Meyer Wolfshiem,wolfshiem,"""When a man gets killed I never like to get mixed up in it in any way. I keep out. When I was a young man it was different - if a friend of mine died, no matter how, I stuck with them to the end. You may think that's sentimental but I mean it - to the bitter end.""",The Great Gatsby,GG,,guest,,,,,,
Myrtle Wilson,myrtleWilson,"Her face, above a spotted dress of dark blue crepe-de-chine, contained no facet or glean of beauty but there was an immediately perceptible vitality about her as if the nerves of her body were continually smouldering.",The Great Gatsby,GG,,guest,,,,,,
Nick Carraway,carraway,"Every one suspects himself of at least one of the cardinal virtues, and this is mine: I am one of the few honest people that I have ever known.",The Great Gatsby,GG,,guest,,,,,,
Tom Buchanan,tomBuchanan,"He, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven - a national figure in a way, one of those men who reach such an acute limited success at twenty-one that everything afterward savors anti-climax.",The Great Gatsby,GG,,guest,,,,,,
Anthony Cade,Cade,"""If there’s any trouble brewing, Anthony Cade is sure to be in it sooner or later, I know that,"" he said. ""You’ve an absolute instinct for rows—and the nine lives of a cat.""",The Secret of Chimneys,SOC,,guest,,,,,,
Bill Eversleigh,Eversleigh,"He was a good cricketer and a scratch golfer, he had pleasant manners, and an amiable disposition, but his position in the Foreign Office had been gained, not by brains, but by good connexions. ",The Secret of Chimneys,SOC,,guest,,,,,,
George Lomax,Lomax,"A robust man, George Lomax, inclined to embonpoint, with a red face and protuberant eyes, and an immense sense of his own importance.",The Secret of Chimneys,SOC,,guest,,,,,,
Jimmy McGrath,McGrath,"The sort of man one read about in books, who probably kept a saloon. Interesting though. After all, that was what one came abroad for—to see all these peculiar things one read about in books.",The Secret of Chimneys,SOC,,guest,,,,,,
King Victor,Victor,"""He’s a crook, Jimmy. The most notorious jewel thief in the world. A fantastic, daring fellow, not to be daunted by anything.""",The Secret of Chimneys,SOC,,guest,,,,,,
Lord Caterham,Caterham,"The principal misfortune of Lord Caterham’s life was to have succeeded his brother, the eighth marquis, four years ago. For the previous Lord Caterham had been a man of mark, a household word all over England.",The Secret of Chimneys,SOC,,guest,,,,,,
